_date,total_clones,unique_clones
2022-06-29,852,811
2022-06-30,716,672
2022-07-01,747,702
2022-07-02,609,585
2022-07-03,595,597
2022-07-04,777,676
2022-07-05,700,644
2022-07-06,717,665
2022-07-07,601,587
2022-07-08,632,602
2022-07-09,642,625
2022-07-10,604,585
2022-07-11,663,652
2022-07-12,614,585
2022-07-13,616,595
2022-07-14,769,719
2022-07-15,820,764
2022-07-16,692,672
2022-07-17,621,598
2022-07-18,646,614
2022-07-19,789,767
2022-07-20,697,643
2022-07-21,759,702
2022-07-22,848,838
2022-07-23,677,691
2022-07-24,659,650
2022-07-25,761,712
2022-07-26,781,722
2022-07-27,969,856
2022-07-28,957,811
2022-07-29,965,873
2022-07-30,843,752
2022-07-31,838,793
2022-08-01,886,833
2022-08-02,897,858
2022-08-03,841,783
2022-08-04,792,760
2022-08-05,911,807
2022-08-06,888,833
2022-08-07,864,767
2022-08-08,865,826
2022-08-09,844,789
2022-08-10,1015,918
2022-08-11,922,833
2022-08-12,1009,896
2022-08-13,849,804
2022-08-14,743,742
2022-08-15,913,850
2022-08-16,914,808
2022-08-17,870,811
2022-08-18,1023,852
2022-08-19,454,347
2022-08-20,200,143
2022-08-21,150,121
2022-08-22,224,181
2022-08-23,306,265
2022-08-24,400,359
2022-08-25,352,339
2022-08-26,858,808
2022-08-27,772,748
2022-08-28,752,737
2022-08-29,791,784
2022-08-30,544,514
2022-08-31,353,319
2022-09-01,798,718
2022-09-02,494,370
2022-09-03,328,266
2022-09-04,487,473
2022-09-05,490,458
2022-09-06,471,435
2022-09-07,491,440
2022-09-08,714,594
2022-09-09,720,674
2022-09-10,522,510
2022-09-11,414,405
2022-09-12,568,553
2022-09-13,1085,967
2022-09-14,1070,956
2022-09-15,1094,1012
2022-09-16,1012,964
2022-09-17,816,780
2022-09-18,754,708
2022-09-19,787,752
2022-09-20,890,824
2022-09-21,1379,905
2022-09-22,1054,905
2022-09-23,948,870
2022-09-24,893,807
2022-09-25,859,758
2022-09-26,954,859
2022-09-27,874,830
2022-09-28,819,773
2022-09-29,990,952
2022-09-30,1113,1017
2022-10-01,890,809
2022-10-02,819,786
2022-10-03,859,856
2022-10-04,720,710
2022-10-05,851,815
2022-10-06,836,783
2022-10-07,758,715
2022-10-08,778,764
2022-10-09,709,718
2022-10-10,778,737
2022-10-11,766,760
2022-10-12,905,815
2022-10-13,981,884
2022-10-14,895,799
2022-10-15,799,754
2022-10-16,682,691
2022-10-17,759,704
2022-10-18,884,845
2022-10-19,707,645
2022-10-20,728,602
2022-10-21,740,693
2022-10-22,436,393
2022-10-23,390,372
2022-10-24,470,445
2022-10-25,873,808
2022-10-26,802,741
2022-10-27,1016,745
2022-10-28,1108,761
2022-10-29,1023,708
2022-10-30,952,688
